feature,coefficient,abs_coefficient
day_of_week,-0.08591483124988591,0.08591483124988591
season,-0.040350010462287346,0.040350010462287346
day_name,0.005048868981483913,0.005048868981483913
prcp,-0.0021374399611301543,0.0021374399611301543
tmin,-0.00017414164262005032,0.00017414164262005032
